rank,channel_id,channel_name,channel_url,subscribers,video_count,total_views,description,published_at,country,custom_url,default_language,thumbnail_url,topic_categories,privacy_status,is_linked,made_for_kids,channel_keywords,uploads_playlist_id,instagram_url,x_url,tiktok_url
1,UCibEhpu5HP45-w7Bq1ZIulw,Fischer's-フィッシャーズ-,https://youtube.com/@@fischers,9030000,4227,21379694216,"チャンネル紹介と歴史はこちら✨

野外や室内で遊んだり、海外へ冒険したり。時には恐ろしい場所へ…😱
中学3年の頃に「思い出」を動画にした事から始まった、6人の同級生による思い出系ネットパフォーマーです。
ファンの呼称は「ウオタミ」決まり文句は「アデュー‼️」

■これまでのできごと🎉
10/02/25 中学校卒業間近にフィッシャーズ結成
12/08/24 古いチャンネルを削除してこのチャンネルを開設
13/11/08 ファンの総称 ""ウオタミ"" 
15/07/20 UUUM所属
16/07/05 初曲「チャンピオンロード」
16/12/20 YouTube FanFest 初出演
17/08/29 「虹」MV公開
18/04/27 Mステ初出演
19/04/07 葛飾区 ""亀有警察署１日警察署長"" 就任
19/12/05 YouTubeリワインド2019 ""世界で最も再生されたクリエイター"" 世界9位（年間19億回）
19/12/13 YouTube界のアカデミー賞 ""Streamy Award"" で日本人初受賞
20/08/02 日本初、単独チャンネルで総再生数""100億回""達成
20/11/18 「最大の鬼ごっこ」1万908人でギネス世界記録を達成
21/05/27 YouTube Works Awards Japan 2021でタイアップ動画広告コンテンツ「第１回ドローン鬼ごっこ」が受賞
22/01/12 フィッシャーズスタッフ６名を紹介
22/04/26 「よく食べて、よく遊ぼう！」ライフスタイルブランド""Dotene（ドテネ） ""発表
22/05/31 地元葛飾区の ""かつしか観光大使"" に就任
22/11/20 日本初、単独チャンネルで総再生数""150億回""達成
23/09/01 8月間再生数4億回突破
25/07/11 単独チャンネルで総再生数""200億回""達成

【お問い合わせ先について】
UUUM
■http://www.uuum.co.jp/service

※このチャンネルの動画を真似、参考にして怪我や損害をしたなどについて一切の責任を負いません。
ご理解の程よろしくお願いいたします。
",2012-08-24T03:11:12Z,JP,@fischers,ja,https://yt3.ggpht.com/cU2SumNlCGP6N3F3c8F_mN8DoF9Qg_d8BbXW04-3XydU90LpgjfQnte4s8neEeLXIr7VrCaLHw=s800-c-k-c0x00ffffff-no-rj,"Food, Entertainment, Lifestyle (sociology)",public,True,False,フィッシャーズ エンターテイメント Fischer's youtube YouTube 毎日 動画 投稿 コメディー お笑い ネタ ギャグ スポーツ 講座 商品紹介 レビュー review youtuber コント 面白動画 バカ 学生 ボイパ ビートボックス ハプニング やってみた チャレンジ ブロガー ビロガー オールジャンル ミュージック 音楽 ツイキャス 編集 新製品 シルクロード マサイ Japan japan 男子 軍団 なんでも 挑戦 ホラー 流行 トレンド パロディ,UUibEhpu5HP45-w7Bq1ZIulw,,,
2,UCw7HTQv0F4CB9zGRhqosYsg,Marina Takewaki,https://youtube.com/@@marinatakewaki,4330000,1054,1770609492,"「健康を通じて、もっと自分を好きになる。」をモットーに、皆さんの心と身体が健康になる「運動」「食事」「休息」の情報を発信しています。
一畳のスペースでできる運動(マリネス)は、自宅はもちろん、車や飛行機の中、体育の授業、グループホームなど、どこでも手軽に楽しめる運動のプログラムです。
皆さんがより健康になり、自分自身をもっと好きになれるよう、私たちは共に並走していきます。 
",2018-12-18T22:03:34Z,JP,@marinatakewaki,,https://yt3.ggpht.com/ytc/AIdro_mvwp_yES3d5SeexZZ3-oVUGicz2DZxsFCx4XUcVBqORBU=s800-c-k-c0x00ffffff-no-rj,"Health, Lifestyle (sociology), Physical fitness",public,True,False,ストレッチ　竹脇まりな　筋トレ　ダイエット,UUw7HTQv0F4CB9zGRhqosYsg,,,
3,UCRxPrFmRHsXGWfAyE6oqrPQ,コムドット,https://youtube.com/@@comdot,4210000,2930,5054709038,"2018年10月1日結成
日本を獲るYouTubeクリエイターコムドットです
""地元ノリを全国へ” というスローガンを掲げ、幼馴染5人組でYouTube界の次の時代を創ります
コムドットという名の伝説の生き証人になる覚悟ができたらチャンネル登録お願いします

【2018年】
10/1：結成
10/4：初投稿
11/24：チャンネル登録者数500人突破
12/20：チャンネル登録者数1,000人突破

【2019年】
1/27：チャンネル登録者数3,000人突破
2/27：チャンネル登録者数5,000人突破
4/4：チャンネル登録者10,000人突破
12/5：チャンネル登録100,000人突破

【2020年】
6/17：チャンネル登録200,000人突破
8/30：初急上昇動画（17位）
10/1：法人化事務所設立
12/8：チャンネル登録500,000人突破
　
【2021年】
1/17：初急上昇1位
2/3：チャンネル登録1,000,000人突破
3/28：HIKAKINさんとのコラボ動画投稿　
4/1：ブランド「BIRDOG」設立
6/10：チャンネル登録2,000,000人突破
12/2：初写真集「TRACE」発売（男性写真集歴代1位を記録）
12/11：チャンネル登録3,000,000人突破

【2022年】
5/17：初CM地上波公開
8/27：YouTube Shorts CM公開
9/27：冠番組「コムドットって何？」スタート
12/2：写真集第2弾「JOURNEY」発売
12/6：YTFFに出演
12/27：チャンネル登録4,000,000人突破

【2023年】
2/23：コムドット初単独イベント(動員数10,000人)
4/1：「BB5」誕生
5/1：悠馬メジャーデビューシングル「カーテン」配信
7/27：CDF2023@東京ドーム開催
11/6：AMUGIRIメジャーデビューシングル「すいません」配信

【2024年】
5/29：コムドットメジャーデビューシングル「拝啓、俺たちへ」配信
8/10：CDF2024@東京ドーム開催
11/23,11/24：NO PREPARE@武蔵野の森総合スポーツプラザ開催

【2025年】
4/12：チャンネル登録4,000,000人再突破
4/18：写真集第3弾「BESIDE」発売",2018-10-03T14:28:26Z,JP,@comdot,,https://yt3.ggpht.com/jcLGRRvPkik9gnwIzZZFB1uCmjhwq-2tamUCP3D9xpwz7nzCFyFHAq6awkF6hpiPHHb1647j=s800-c-k-c0x00ffffff-no-rj,Lifestyle (sociology),public,True,False,,UURxPrFmRHsXGWfAyE6oqrPQ,,,
4,UCNHqosTdwFPSK5OQsjFoS5g,Kan & Aki's CHANNELかんあきチャンネル,https://youtube.com/@@kanakischannel,4130000,3440,12006180601,"かんなあきらあさひ3姉妹＆末っ子長男ぎんた、パパママの6人家族で
日常Vlogやファミリーおでかけ動画、ゲーム実況などいろんな動画をアップ。
お子様と一緒にパパママさんたちにも楽しんでいただける動画がつくれたらと思ってます♪
撮影、編集、コメントの返信などはママがしております♪
どうぞよろしくおねがいいたします❤

★お手紙（ファンレター）の送付先ができました★
〒154-0001
東京都世田谷区池尻2−31−20-501
かんあきチャンネル　宛

※普通郵便以外のお荷物の郵送などはお受けできませんのでご了承くださいませ。
　企業様のお荷物などの郵送もご遠慮ください。",2010-05-01T22:41:47Z,JP,@kanakischannel,,https://yt3.ggpht.com/ytc/AIdro_kRoU3gAPsbqYdOPataTmCyVdlFuog96bL_dydxfzH311E=s800-c-k-c0x00ffffff-no-rj,"Lifestyle (sociology), Food",public,True,True,,UUNHqosTdwFPSK5OQsjFoS5g,,,
5,UC8yHePe_RgUBE-waRWy6olw,PIVOT 公式チャンネル,https://youtube.com/@@pivot00,3770000,4443,807894011,"ビジネス映像メディア「PIVOT」のYouTubeチャンネルです。

経営、テクノロジー、マネー、キャリア、ビジネススキルなどをテーマに、スキルセット・マインドセットを高める学びコンテンツを毎日配信しています。
PIVOTアプリでは、 「バックグラウンド再生」「ダウンロード機能」「音声モード再生」が全て無料で利用可能です。

▼YouTubeコメントポリシーについて
PIVOT公式チャンネルでは、YouTubeコメントにおける違反行為を見つけた場合、コメントの削除、ユーザーのブロック、または不適切な場合は報告を行うことがあります。当チャンネルでは互いに学び合い、健全でポジティブなコミュニティを作ることを目指しています。 お互いに尊重し合いながら楽しく安全に交流できる環境を保つために、皆様のご協力をお願いし ます。
",2022-02-17T03:14:48.953736Z,JP,@pivot00,,https://yt3.ggpht.com/Lm58Y_ADA-v5yYc90tyme_bG2Blb3ZPZrULSVWITIA6yVBvjX8WNm_YOSYaf-zvKNyJ3fqaguH8=s800-c-k-c0x00ffffff-no-rj,"Politics, Society, Business, Knowledge",public,True,False,ビジネス 起業 経済 キャリア スタートアップ スキルアップ マネー 教育 投資,UU8yHePe_RgUBE-waRWy6olw,,,
6,UCuTAXTexrhetbOe3zgskJBQ,日テレNEWS,https://youtube.com/@@ntv_news,3130000,84611,4884700244,"日本テレビ報道局が運営する公式チャンネルです。最新ニュースから深掘りニュース、さらにライブ配信など、多彩にお伝えしていきます。

This is the official channel operated by Nippon Television Network Corporation's News Department.
It provides a wide variety of news, from the latest news to in-depth news, as well as live broadcasts.
",2019-11-07T02:32:50.596205Z,JP,@ntv_news,ja,https://yt3.ggpht.com/l6O9viXT0NUEet41Y2IAjKvuTbULIaErR8UUppXhtNeW7r-Z7hgruiBOxoCJaSQMlbHv4Cii=s800-c-k-c0x00ffffff-no-rj,"Politics, Society",public,True,False,"ニュース 最新ニュース テレビ 情報 皇室 皇族 事件 事故 日テレNEWS 日テレ 日本テレビ 政治 経済 国際 live ライブ 最新 ntv_news 日本 Japan ニュースライブ ""latest news"" 配信 ""NEWS LIVE""",UUuTAXTexrhetbOe3zgskJBQ,,,
7,UCaPJaMy0_OZlNjq7BVyTnkA,佐久間宣行のNOBROCK TV,https://youtube.com/@@nobrocktv,3090000,1420,2135950631,"【水曜土曜19:00配信】

芸人たちがさまざまな""選手権""に臨む企画やゲストとのトーク、
スターを発掘するオーディション企画などをお届けします！

企画・出演・プロデュース
佐久間宣行

【企業案件について】
企業案件に関するお問い合わせは、

info@nobrocktv.jp 

までご連絡ください。
よろしくお願いいたします。
",2021-06-24T05:18:43.335906Z,JP,@nobrocktv,ja,https://yt3.ggpht.com/AZKFJE3zV6lJSlPX8q-b-n13P5178dcGH54WgwGzX8VqZ7VjPoqW6siMT01K8S_0b4FobHQZPQ=s800-c-k-c0x00ffffff-no-rj,"Film, Entertainment, Television program",public,True,False,NOBROCKTV ノブロックTV 100ボケ100ツッコミ みりちゃむ 罵倒村 風吹ケイ 森脇梨々夏 福留光帆 二瓶有加 佐久間宣行 口喧嘩オーディション,UUaPJaMy0_OZlNjq7BVyTnkA,,,
8,UCC0JWiw4BJYR4NUDxQCf0Hg,ひなちゃんねる / Hinata Kato,https://youtube.com/@@hinatakato,2870000,632,842449830,"˗ˏˋひなちゃんねるプロフィール ˎˊ˗  

引きこもり&何をするにもネガティヴだった私が
運動に出会って-20kgに成功🌈

そこから生きてる世界がかわったよ❕
少しずつだけど何をするにも
前向きにポジティブになれました✨
そして今はキラキラ最強説を全世界のみんなに
伝える為にYouTubeを頑張っています🤸🏼‍♂️


みんなへ✎𓈒𓂂𓏸
やろうかなと思った事、少しでも行動に移せた事
それだけでもすっごく進歩なんだよ😤
目標に達成した自分はもちろん、頑張ってる途中の自分もいっぱい褒めてあげてね！
我々は生まれた時からもうすでに最高なのだから😉


˗ˏˋ  my profile ˎˊ˗  
I used to be a homebody and pessimistic about anything I would do until I started my fitness journey, then I succeeded losing 20kg (44lbs)🌈
 
The world I started to see changed, and gradually but surely, I started to be a more positive person. Till this day I keep on training to be the HAPPIEST and the BEST version of myself🤸🏼‍♂️
 


【お仕事のご連絡はこちらへ☺︎】
https://www.asobanaito.com

　
",2017-05-24T17:43:55Z,JP,@hinatakato,,https://yt3.ggpht.com/V92bI8Bm24208mUkWrWQOq1IIIDdJUOMTCQmoajfgRMh27423azIm5KO7zA3yj8QEFhAFOWuXQ=s800-c-k-c0x00ffffff-no-rj,"Health, Lifestyle (sociology), Physical fitness",public,True,False,ひなちゃんねる 加藤ひなた ひなチャンネル ダイエット diet workout 脚やせ お腹痩せ お尻痩せ 背中痩せ HIIT FITNESS 太もも痩せ 顔痩せ お尻痩せ 二の腕痩せ 大転子 骨盤矯正 肩凝り ストレートネック 首こり 有酸素 足痩せ 脚痩せ 脚パカ 足パカ,UUC0JWiw4BJYR4NUDxQCf0Hg,,,
9,UCOUu8YlbaPz0W2TyFTZHvjA,ザ・きんにくTV 【The Muscle TV】,https://youtube.com/@@themuscletv29,2750000,446,473684096,なかやまきんに君の大爆笑きんにく情報チャンネル,2016-05-10T09:18:47Z,JP,@themuscletv29,,https://yt3.ggpht.com/ytc/AIdro_mhVUan-_wyTSs2g4SYN9KZEI9jzvn-AJd4Lj6YgLMj3lc=s800-c-k-c0x00ffffff-no-rj,"Health, Physical fitness, Lifestyle (sociology), Food",public,True,False,なかやまきんに君 きんにくん きんにく きんに君 muscle 筋トレ fitness workout 脂肪燃焼 ダイエット 減量 ボディビル アメリカ,UUOUu8YlbaPz0W2TyFTZHvjA,,,
10,UCP-32CzsbLiiIb2LbYk8mZA,Lazy Lie Crazy【レイクレ】,https://youtube.com/@@lazy_lie_crazy,2660000,2425,2617928748,"関西を拠点に絶賛爆笑中。
さくっと天下とります。
いやいや、そこの君無理っていいましたか？
そんなこと評価してる暇があったら、とりあえずチャンネル登録、高評価、ほんんんんんまによろしくな！！！

■メンバー
・どば師匠
・たかし
・てっちゃん
・ともやん
・ぺろ愛男爵

■お問い合わせ/お仕事の依頼はこちらから
【info@sai-oh.jp】


",2017-08-06T05:36:58Z,,@lazy_lie_crazy,,https://yt3.ggpht.com/ytc/AIdro_mpD8Z4WYtGFyIctIvezhDC5RNEY4TcqV1j23eGN89QPmM=s800-c-k-c0x00ffffff-no-rj,"Entertainment, Lifestyle (sociology), Film",public,True,False,,UUP-32CzsbLiiIb2LbYk8mZA,,,
